Carimbo de data/hora,Nome Completo,Nome completo ,Idade  , Gênero  ,E-mail,  Avaliação física realizada?  ,Qual seu principal objetivo com os treinos?,  Qual seu plano atual?  ,  Data de início do plano:  ,  Frequência semanal estimada (vezes por semana),Em qual turno você costuma treinar?,  Quais aulas coletivas você costuma frequentar?  ,Você gostaria de receber uma sugestão de treino orientado com base nas suas respostas?,  Que tipo de treino você costuma fazer por conta própria?  ,Status de envio
14/06/2025 00:36:48,,Juliana Fernandes,32,Feminino,julianafernandes15@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,04/12/2024,4,Noite (17h às 22h),STEP (Seg 06:15 / Sex 07:00),Sim,"Treino livre com peso do corpo, Musculação",Enviado
14/06/2025 00:37:48,,Vanessa Martins,50,Feminino,vanessamartins74@exemplo.com,Sim,Ganho de massa muscular,Octomestral,09/12/2024,6,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30), MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), STEP (Seg 06:15 / Sex 07:00)",Sim,Musculação,Enviado
14/06/2025 00:38:48,,Larissa Nogueira,38,Feminino,larissanogueira98@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,13/11/2024,4,Noite (17h às 22h),"JUMP (Qua 07:00), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,Alongamento,Enviado
14/06/2025 00:39:48,,Renata Lima,49,Feminino,renatalima27@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,25/11/2024,3,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), ALONGAMENTO (Seg, Qua, Sex – 08:30)",Sim,"Cardio (esteira, bike, escada), Musculação",Enviado
14/06/2025 00:40:48,,Fernanda Ribeiro,43,Feminino,fernandaribeiro97@exemplo.com,Sim,Manutenção / condicionamento físico,Quadrimestral,12/12/2024,3,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00), STEP (Seg 06:15 / Sex 07:00)",Sim,"Funcional, Cardio (esteira, bike, escada)",Enviado
14/06/2025 00:41:48,,Fernanda Ribeiro,41,Feminino,fernandaribeiro91@exemplo.com,Sim,Perda de gordura corporal,Anual,12/11/2024,5,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00), STEP (Seg 06:15 / Sex 07:00), BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00)",Sim,Musculação,Enviado
14/06/2025 00:42:48,,Juliana Fernandes,35,Feminino,julianafernandes61@exemplo.com,Sim,Ganho de massa muscular,Mensal,14/11/2024,3,Noite (17h às 22h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,"Cardio (esteira, bike, escada)",Enviado
14/06/2025 00:43:48,,Natália Campos,48,Feminino,natáliacampos29@exemplo.com,Sim,Ganho de massa muscular,Mensal,04/12/2024,4,Noite (17h às 22h),"LOCAL (Seg 07:00 / Sex 06:15), STEP (Seg 06:15 / Sex 07:00)",Sim,Treino livre com peso do corpo,Enviado
14/06/2025 00:44:48,,Fernanda Ribeiro,44,Feminino,fernandaribeiro55@exemplo.com,Sim,Manutenção / condicionamento físico,Octomestral,06/12/2024,5,Noite (17h às 22h),"GAP (Qua 06:15), LOCAL (Seg 07:00 / Sex 06:15), JUMP (Qua 07:00)",Sim,"Personal / Treino individual, Cardio (esteira, bike, escada)",Enviado
14/06/2025 00:45:48,,Renata Lima,43,Feminino,renatalima53@exemplo.com,Sim,Perda de gordura corporal,Octomestral,11/12/2024,5,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30), BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), STEP (Seg 06:15 / Sex 07:00)",Sim,"Funcional, Personal / Treino individual",Enviado
14/06/2025 00:46:48,,Kelly Machado,33,Feminino,kellymachado73@exemplo.com,Sim,Perda de gordura corporal,Mensal,13/11/2024,6,Noite (17h às 22h),GLÚTEO (Ter e Qui – 18:00),Sim,Personal / Treino individual,Enviado
14/06/2025 00:47:48,,Renata Lima,40,Feminino,renatalima86@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,20/11/2024,4,Noite (17h às 22h),GLÚTEO (Ter e Qui – 18:00),Sim,Funcional,Enviado
14/06/2025 00:48:48,,Juliana Fernandes,43,Feminino,julianafernandes97@exemplo.com,Sim,Manutenção / condicionamento físico,Mensal,01/12/2024,6,Noite (17h às 22h),"LOCAL (Seg 07:00 / Sex 06:15), STEP (Seg 06:15 / Sex 07:00), JUMP (Qua 07:00)",Sim,Funcional,Enviado
14/06/2025 00:49:48,,Carolina Vasconcelos,34,Feminino,carolinavasconcelos97@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,16/11/2024,6,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30), BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00)",Sim,"Funcional, Musculação",Enviado
14/06/2025 00:50:48,,Daniela Costa,32,Feminino,danielacosta88@exemplo.com,Sim,Manutenção / condicionamento físico,Octomestral,13/11/2024,6,Noite (17h às 22h),"HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), JIU-JITSU (Seg, Qua, Sex – 20:00), BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00)",Sim,"Cardio (esteira, bike, escada), Funcional",Enviado
14/06/2025 00:51:48,,Kelly Machado,43,Feminino,kellymachado99@exemplo.com,Sim,Ganho de massa muscular,Anual,22/11/2024,4,Noite (17h às 22h),"LOCAL (Seg 07:00 / Sex 06:15), GAP (Qua 06:15), GLÚTEO (Ter e Qui – 18:00)",Sim,"Cardio (esteira, bike, escada)",Enviado
14/06/2025 00:52:48,,Natália Campos,34,Feminino,natáliacampos66@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,12/12/2024,4,Noite (17h às 22h),STEP (Seg 06:15 / Sex 07:00),Sim,"Treino livre com peso do corpo, Musculação",Enviado
14/06/2025 00:53:48,,Larissa Nogueira,47,Feminino,larissanogueira25@exemplo.com,Sim,Perda de gordura corporal,Octomestral,05/12/2024,5,Noite (17h às 22h),"LOCAL (Seg 07:00 / Sex 06:15), ALONGAMENTO (Seg, Qua, Sex – 08:30)",Sim,Alongamento,Enviado
14/06/2025 00:54:48,,Renata Lima,49,Feminino,renatalima23@exemplo.com,Sim,Perda de gordura corporal,Octomestral,01/12/2024,6,Noite (17h às 22h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,Musculação,Enviado
14/06/2025 00:55:48,,Larissa Nogueira,50,Feminino,larissanogueira47@exemplo.com,Sim,Manutenção / condicionamento físico,Mensal,05/12/2024,5,Noite (17h às 22h),"BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), LOCAL (Seg 07:00 / Sex 06:15), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45)",Sim,"Cardio (esteira, bike, escada)",Enviado
14/06/2025 00:56:48,,Tatiane Almeida,31,Feminino,tatianealmeida65@exemplo.com,Sim,Manutenção / condicionamento físico,Octomestral,29/11/2024,4,Noite (17h às 22h),"GLÚTEO (Ter e Qui – 18:00), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45)",Sim,"Cardio (esteira, bike, escada)",Enviado
14/06/2025 00:57:48,,Larissa Nogueira,38,Feminino,larissanogueira51@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,04/12/2024,3,Noite (17h às 22h),"GAP (Qua 06:15), ALONGAMENTO (Seg, Qua, Sex – 08:30)",Sim,"Personal / Treino individual, Musculação",Enviado
14/06/2025 00:58:48,,Elaine Pires,32,Feminino,elainepires15@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,02/12/2024,4,Noite (17h às 22h),"STEP (Seg 06:15 / Sex 07:00), LOCAL (Seg 07:00 / Sex 06:15), JUMP (Qua 07:00)",Sim,"Alongamento, Treino livre com peso do corpo",Enviado
14/06/2025 00:59:48,,Kelly Machado,49,Feminino,kellymachado54@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,26/11/2024,3,Noite (17h às 22h),GAP (Qua 06:15),Sim,"Cardio (esteira, bike, escada), Funcional",Enviado
14/06/2025 01:00:48,,Patrícia Souza,39,Feminino,patríciasouza33@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,28/11/2024,3,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00), STEP (Seg 06:15 / Sex 07:00)",Sim,"Alongamento, Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:01:48,,Daniela Costa,34,Feminino,danielacosta87@exemplo.com,Sim,Ganho de massa muscular,Anual,15/11/2024,6,Noite (17h às 22h),GLÚTEO (Ter e Qui – 18:00),Sim,Musculação,Enviado
14/06/2025 01:02:48,,Bianca Duarte,36,Feminino,biancaduarte19@exemplo.com,Sim,Perda de gordura corporal,Octomestral,08/12/2024,6,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), GAP (Qua 06:15)",Sim,"Alongamento, Personal / Treino individual",Enviado
14/06/2025 01:03:48,,Renata Lima,49,Feminino,renatalima67@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,27/11/2024,4,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), STEP (Seg 06:15 / Sex 07:00)",Sim,"Musculação, Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:04:48,,Natália Campos,48,Feminino,natáliacampos69@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,30/11/2024,3,Noite (17h às 22h),"GAP (Qua 06:15), BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), JUMP (Qua 07:00)",Sim,"Musculação, Treino livre com peso do corpo",Enviado
14/06/2025 01:05:48,,Daniela Costa,49,Feminino,danielacosta59@exemplo.com,Sim,Perda de gordura corporal,Anual,06/12/2024,5,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00)",Sim,"Personal / Treino individual, Alongamento",Enviado
14/06/2025 01:06:48,,Renata Lima,49,Feminino,renatalima50@exemplo.com,Sim,Perda de gordura corporal,Mensal,30/11/2024,4,Noite (17h às 22h),"STEP (Seg 06:15 / Sex 07:00), GAP (Qua 06:15), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,"Treino livre com peso do corpo, Funcional",Enviado
14/06/2025 01:07:48,,Elaine Pires,45,Feminino,elainepires82@exemplo.com,Sim,Perda de gordura corporal,Octomestral,09/12/2024,5,Noite (17h às 22h),"BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), LOCAL (Seg 07:00 / Sex 06:15)",Sim,Personal / Treino individual,Enviado
14/06/2025 01:08:48,,Mariana Lopes,47,Feminino,marianalopes64@exemplo.com,Sim,Manutenção / condicionamento físico,Octomestral,10/12/2024,3,Noite (17h às 22h),LOCAL (Seg 07:00 / Sex 06:15),Sim,Treino livre com peso do corpo,Enviado
14/06/2025 01:09:48,,Renata Lima,44,Feminino,renatalima81@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,27/11/2024,4,Noite (17h às 22h),JUMP (Qua 07:00),Sim,Alongamento,Enviado
14/06/2025 01:10:48,,Juliana Fernandes,35,Feminino,julianafernandes94@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,16/11/2024,3,Noite (17h às 22h),GAP (Qua 06:15),Sim,Personal / Treino individual,Enviado
14/06/2025 01:11:48,,Aline Castro,36,Feminino,alinecastro64@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,21/11/2024,6,Noite (17h às 22h),"BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00)",Sim,Funcional,Enviado
14/06/2025 01:12:48,,Patrícia Souza,40,Feminino,patríciasouza97@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,01/12/2024,4,Noite (17h às 22h),"JUMP (Qua 07:00), GAP (Qua 06:15), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,Alongamento,Enviado
14/06/2025 01:13:48,,Carolina Vasconcelos,32,Feminino,carolinavasconcelos53@exemplo.com,Sim,Manutenção / condicionamento físico,Quadrimestral,24/11/2024,3,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45)",Sim,Personal / Treino individual,Enviado
14/06/2025 01:14:48,,Kelly Machado,47,Feminino,kellymachado98@exemplo.com,Sim,Perda de gordura corporal,Mensal,16/11/2024,3,Noite (17h às 22h),"BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), JUMP (Qua 07:00), JIU-JITSU (Seg, Qua, Sex – 20:00)",Sim,Treino livre com peso do corpo,Enviado
14/06/2025 01:15:48,,Mariana Lopes,45,Feminino,marianalopes22@exemplo.com,Sim,Ganho de massa muscular,Anual,15/11/2024,5,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), STEP (Seg 06:15 / Sex 07:00)",Sim,"Personal / Treino individual, Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:16:48,,Fernanda Ribeiro,41,Feminino,fernandaribeiro62@exemplo.com,Sim,Ganho de massa muscular,Octomestral,26/11/2024,3,Noite (17h às 22h),GAP (Qua 06:15),Sim,"Personal / Treino individual, Alongamento",Enviado
14/06/2025 01:17:48,,Fernanda Ribeiro,46,Feminino,fernandaribeiro95@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,20/11/2024,5,Noite (17h às 22h),ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30),Sim,Alongamento,Enviado
14/06/2025 01:18:48,,Aline Castro,37,Feminino,alinecastro24@exemplo.com,Sim,Ganho de massa muscular,Mensal,11/12/2024,6,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30), GAP (Qua 06:15)",Sim,Musculação,Enviado
14/06/2025 01:19:48,,Cristiane Moura,37,Feminino,cristianemoura65@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,04/12/2024,6,Noite (17h às 22h),"HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), ALONGAMENTO (Seg, Qua, Sex – 08:30), GLÚTEO (Ter e Qui – 18:00)",Sim,Funcional,Enviado
14/06/2025 01:20:48,,Tatiane Almeida,35,Feminino,tatianealmeida70@exemplo.com,Sim,Manutenção / condicionamento físico,Quadrimestral,23/11/2024,3,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30), JUMP (Qua 07:00)",Sim,"Alongamento, Musculação",Enviado
14/06/2025 01:21:48,,Aline Castro,41,Feminino,alinecastro84@exemplo.com,Sim,Perda de gordura corporal,Mensal,01/12/2024,4,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45)",Sim,"Musculação, Personal / Treino individual",Enviado
14/06/2025 01:22:48,,Cristiane Moura,34,Feminino,cristianemoura57@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,14/11/2024,6,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), GLÚTEO (Ter e Qui – 18:00)",Sim,Treino livre com peso do corpo,Enviado
14/06/2025 01:23:48,,Carolina Vasconcelos,41,Feminino,carolinavasconcelos47@exemplo.com,Sim,Perda de gordura corporal,Mensal,30/11/2024,5,Noite (17h às 22h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), LOCAL (Seg 07:00 / Sex 06:15)",Sim,Musculação,Enviado
14/06/2025 01:24:48,,Mariana Lopes,44,Feminino,marianalopes23@exemplo.com,Sim,Manutenção / condicionamento físico,Quadrimestral,10/12/2024,6,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30)",Sim,"Musculação, Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:25:48,,Kelly Machado,36,Feminino,kellymachado20@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,06/12/2024,3,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), ALONGAMENTO (Seg, Qua, Sex – 08:30)",Sim,"Musculação, Alongamento",Enviado
14/06/2025 01:26:48,,Vanessa Martins,45,Feminino,vanessamartins63@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,12/11/2024,3,Noite (17h às 22h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,Treino livre com peso do corpo,Enviado
14/06/2025 01:27:48,,Paula Rocha,40,Feminino,paularocha11@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,16/11/2024,5,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45)",Sim,Musculação,Enviado
14/06/2025 01:28:48,,Adriana Teixeira,33,Feminino,adrianateixeira73@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,27/11/2024,6,Noite (17h às 22h),"HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), ALONGAMENTO (Seg, Qua, Sex – 08:30)",Sim,"Alongamento, Treino livre com peso do corpo",Enviado
14/06/2025 01:29:48,,Aline Castro,42,Feminino,alinecastro50@exemplo.com,Sim,Manutenção / condicionamento físico,Octomestral,30/11/2024,6,Noite (17h às 22h),ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30),Sim,"Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:30:48,,Tatiane Almeida,34,Feminino,tatianealmeida90@exemplo.com,Sim,Ganho de massa muscular,Octomestral,02/12/2024,5,Noite (17h às 22h),"GLÚTEO (Ter e Qui – 18:00), ALONGAMENTO (Seg, Qua, Sex – 08:30), GAP (Qua 06:15)",Sim,"Treino livre com peso do corpo, Personal / Treino individual",Enviado
14/06/2025 01:31:48,,Aline Castro,40,Feminino,alinecastro52@exemplo.com,Sim,Manutenção / condicionamento físico,Quadrimestral,01/12/2024,4,Noite (17h às 22h),GLÚTEO (Ter e Qui – 18:00),Sim,"Cardio (esteira, bike, escada), Personal / Treino individual",Enviado
14/06/2025 01:32:48,,Daniela Costa,37,Feminino,danielacosta95@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,19/11/2024,6,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), ALONGAMENTO (Seg, Qua, Sex – 08:30), MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00)",Sim,Musculação,Enviado
14/06/2025 01:33:48,,Camila Cardoso,40,Feminino,camilacardoso78@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,30/11/2024,4,Noite (17h às 22h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), JUMP (Qua 07:00)",Sim,"Musculação, Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:34:48,,Patrícia Souza,33,Feminino,patríciasouza97@exemplo.com,Sim,Perda de gordura corporal,Mensal,05/12/2024,4,Noite (17h às 22h),"GLÚTEO (Ter e Qui – 18:00), LOCAL (Seg 07:00 / Sex 06:15), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,"Funcional, Treino livre com peso do corpo",Enviado
14/06/2025 01:35:48,,Vanessa Martins,50,Feminino,vanessamartins14@exemplo.com,Sim,Perda de gordura corporal,Anual,11/12/2024,3,Noite (17h às 22h),JUMP (Qua 07:00),Sim,"Alongamento, Personal / Treino individual",Enviado
14/06/2025 01:36:48,,Mariana Lopes,44,Feminino,marianalopes58@exemplo.com,Sim,Ganho de massa muscular,Octomestral,06/12/2024,6,Noite (17h às 22h),"LOCAL (Seg 07:00 / Sex 06:15), ALONGAMENTO (Seg, Qua, Sex – 08:30), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,"Treino livre com peso do corpo, Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:37:48,,Aline Castro,31,Feminino,alinecastro61@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,18/11/2024,4,Noite (17h às 22h),JUMP (Qua 07:00),Sim,"Alongamento, Funcional",Enviado
14/06/2025 01:38:48,,Bianca Duarte,47,Feminino,biancaduarte39@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,26/11/2024,4,Noite (17h às 22h),HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45),Sim,"Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:39:48,,Kelly Machado,34,Feminino,kellymachado95@exemplo.com,Sim,Ganho de massa muscular,Octomestral,25/11/2024,3,Noite (17h às 22h),HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45),Sim,"Treino livre com peso do corpo, Cardio (esteira, bike, escada)",Enviado
14/06/2025 01:40:48,,Carolina Vasconcelos,45,Feminino,carolinavasconcelos33@exemplo.com,Sim,Perda de gordura corporal,Quadrimestral,13/11/2024,4,Noite (17h às 22h),"HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), JUMP (Qua 07:00)",Sim,Musculação,Enviado
14/06/2025 01:41:48,,Natália Campos,44,Feminino,natáliacampos60@exemplo.com,Sim,Perda de gordura corporal,Anual,15/11/2024,6,Noite (17h às 22h),"STEP (Seg 06:15 / Sex 07:00), JUMP (Qua 07:00), GAP (Qua 06:15)",Sim,"Cardio (esteira, bike, escada), Personal / Treino individual",Enviado
14/06/2025 01:42:48,,Camila Cardoso,40,Feminino,camilacardoso72@exemplo.com,Sim,Manutenção / condicionamento físico,Anual,27/11/2024,5,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), STEP (Seg 06:15 / Sex 07:00)",Sim,"Funcional, Alongamento",Enviado
14/06/2025 01:43:48,,Mariana Lopes,34,Feminino,marianalopes32@exemplo.com,Sim,Perda de gordura corporal,Mensal,24/11/2024,5,Noite (17h às 22h),"GAP (Qua 06:15), JUMP (Qua 07:00)",Sim,"Personal / Treino individual, Treino livre com peso do corpo",Enviado
14/06/2025 01:44:48,,Mariana Lopes,47,Feminino,marianalopes65@exemplo.com,Sim,Ganho de massa muscular,Quadrimestral,09/12/2024,5,Noite (17h às 22h),"HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), LOCAL (Seg 07:00 / Sex 06:15)",Sim,Treino livre com peso do corpo,Enviado
14/06/2025 01:45:48,,Adriana Teixeira,50,Feminino,adrianateixeira67@exemplo.com,Sim,Manutenção / condicionamento físico,Octomestral,18/11/2024,3,Noite (17h às 22h),GLÚTEO (Ter e Qui – 18:00),Sim,"Treino livre com peso do corpo, Funcional",Enviado
14/06/2025 01:46:48,,Elaine Pires,41,Feminino,elainepires84@exemplo.com,Sim,Perda de gordura corporal,Mensal,01/12/2024,3,Noite (17h às 22h),STEP (Seg 06:15 / Sex 07:00),Sim,"Alongamento, Personal / Treino individual",Enviado
14/06/2025 01:47:48,,Daniela Costa,44,Feminino,danielacosta97@exemplo.com,Sim,Perda de gordura corporal,Octomestral,15/11/2024,5,Noite (17h às 22h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30)",Sim,"Cardio (esteira, bike, escada), Funcional",Enviado
